Cell;Passage;bTau;bGal;DoublingTime
MCSWJ-1;36;-0,0439;52,02;41,9
MCSWJ-1;36;0,0563;52,02;41,9
MCSWJ-1;36;-0,1069;52,02;41,9
MCSWJ-1;36;0,0029;52,02;41,9
MCSWJ-1;36;0,2955;52,02;41,9
MCSWJ-1;36;-0,0777;52,02;41,9
MCSWJ-1;36;0,0838;52,02;41,9
MCSWJ-1;36;0,0444;52,02;41,9
MCSWJ-1;36;0,2268;52,02;41,9
MCSWJ-1;36;0,0948;52,02;41,9
MCSWJ-1;36;0,3652;52,02;41,9
MCSWJ-1;36;0,168;52,02;41,9
MCSWJ-1;36;-0,0023;52,02;41,9
MCSWJ-1;36;0,1773;52,02;41,9
MCSWJ-1;36;0,1185;52,02;41,9
MCSWJ-1;38;-0,124821929;57,4;43,5
ADH-MSC;6;-0,060945;4;32,9
ADH-MSC;8;-0,0857;10,2;36,94285714
ADH-MSC;8;-0,1053;10,2;36,94285714
ADH-MSC;8;-0,1719;10,2;36,94285714
ADH-MSC;8;-0,0233;10,2;36,94285714
ADH-MSC;8;0,1397;10,2;36,94285714
ADH-MSC;8;-0,1806;10,2;36,94285714
ADH-MSC;8;-0,0533;10,2;36,94285714
ADH-MSC;8;-0,0951;10,2;36,94285714
ADH-MSC;8;-0,0776;10,2;36,94285714
ADH-MSC;8;-0,1588;10,2;36,94285714
