Cell;Passage;bTau;bGal;DoublingTime
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
